instance_id,sha256,n_vars,n_clauses,clause_var_ratio,source,seed,solver_name,timeout_ms,verdict,wall_time_ns,cpu_time_ns,peak_memory_kb,decisions,propagations,conflicts,backtracks,restarts,nodes_visited,error,verification_wall_time_ns,oracle_wall_time_ns
layer2_n16_seed123_9_cdcl,11a41b6d896748291c5f219c139ac1bc35000805282d1a3c7f662778b14fce56,16,68,4.2500,layer2_n16_seed123,,cdcl,10000,FOUND_VALID_SAT,1129000,0,12,9,43,3,3,0,9,,0,0
layer3_n20_seed42_0_dpll,fa913dc563d4267b9338d0e4c16707ab364812e0bf05135f4f3cb8b3d7062337,20,91,4.5500,layer3_n20_seed42,,dpll,15000,CORRECT_UNSAT_SMALL,19355400,15625000,49,20,101,0,20,0,21,,8402707200,0
layer3_n20_seed42_0_cdcl,fa913dc563d4267b9338d0e4c16707ab364812e0bf05135f4f3cb8b3d7062337,20,91,4.5500,layer3_n20_seed42,,cdcl,15000,CORRECT_UNSAT_SMALL,2827800,0,16,14,140,14,13,0,14,,8428987900,0
layer3_n50_seed42_1_dpll,821a2c68748f3149dcf9c41567384d2d128679ccea9e92b304220c3a067f3ca6,50,218,4.3600,layer3_n50_seed42,,dpll,15000,FOUND_VALID_SAT,185820000,187500000,170,24,214,0,16,0,25,,0,0
layer3_n50_seed42_1_cdcl,821a2c68748f3149dcf9c41567384d2d128679ccea9e92b304220c3a067f3ca6,50,218,4.3600,layer3_n50_seed42,,cdcl,15000,FOUND_VALID_SAT,3054900,0,27,9,53,1,1,0,9,,0,0
challenge_php4_0_dpll,cf250a4cedf6872c550b4daf835f7746b78f6596f691b48f041d602bad3ab7e0,20,45,2.2500,challenge_php4,,dpll,15000,CORRECT_UNSAT_SMALL,10119800,15625000,29,46,195,0,46,0,47,,4553515400,0
challenge_php4_0_cdcl,cf250a4cedf6872c550b4daf835f7746b78f6596f691b48f041d602bad3ab7e0,20,45,2.2500,challenge_php4,,cdcl,15000,CORRECT_UNSAT_SMALL,6833500,15625000,16,36,371,33,32,0,36,,4567721700,0
challenge_n20_seed7_1_dpll,41569a56877170633281b80b59c92af0107e79dca4666b1e056840277c3e20d8,20,91,4.5500,challenge_n20_seed7,,dpll,15000,FOUND_VALID_SAT,7589300,0,36,6,16,0,1,0,7,,0,0
challenge_n20_seed7_1_cdcl,41569a56877170633281b80b59c92af0107e79dca4666b1e056840277c3e20d8,20,91,4.5500,challenge_n20_seed7,,cdcl,15000,FOUND_VALID_SAT,3167100,15625000,16,15,115,8,8,0,15,,0,0
challenge_n24_seed13_2_dpll,df88a0f8d097e55eba87709518d9ce4c2f085b4b349b2fad5106c71227c1a8d5,24,102,4.2500,challenge_n24_seed13,,dpll,15000,FOUND_VALID_SAT,16975600,15625000,59,9,62,0,4,0,10,,0,0
challenge_n24_seed13_2_cdcl,df88a0f8d097e55eba87709518d9ce4c2f085b4b349b2fad5106c71227c1a8d5,24,102,4.2500,challenge_n24_seed13,,cdcl,15000,FOUND_VALID_SAT,4390800,0,18,16,138,14,14,0,16,,0,0
challenge_n30_seed99_3_dpll,6030ac38878ae6c2bdab9b4569fdbaf5ea0007ce4b2c49b728d92a0fab1ce95f,30,128,4.2667,challenge_n30_seed99,,dpll,15000,FOUND_VALID_SAT,37119000,31250000,85,13,94,0,7,0,14,,0,0
challenge_n30_seed99_3_cdcl,6030ac38878ae6c2bdab9b4569fdbaf5ea0007ce4b2c49b728d92a0fab1ce95f,30,128,4.2667,challenge_n30_seed99,,cdcl,15000,FOUND_VALID_SAT,2069800,15625000,18,10,40,1,1,0,10,,0,0
challenge_php6_4_dpll,35ded549fb92a3cf97cf2e06c7a125f7de4575d2e3e05391df44fcd44de9eb57,42,133,3.1667,challenge_php6,,dpll,15000,UNSAT_CLAIM_UNVERIFIED,494507200,484375000,154,1438,6268,0,1438,0,1439,,0,0
challenge_php6_4_cdcl,35ded549fb92a3cf97cf2e06c7a125f7de4575d2e3e05391df44fcd44de9eb57,42,133,3.1667,challenge_php6,,cdcl,15000,UNSAT_CLAIM_UNVERIFIED,623565300,625000000,116,364,6005,356,359,4,364,,0,0
